Year	Sardine	Anchovy	Mackerel	Squid
1975	3	158510	18534	11811
1976	27	124919	22010	10131
1977	2	101132	50931	12811
1978	1	11439	42638	17145
1979	51	48880	44253	19982
1980	21	42946	49976	15385
1981	34	52308	53167	23510
1982	2	42150	55683	16308
1983	1	4427	51300	1824
1984	1	2889	53230	564
1985	6	1626	44649	10275
1986	388	1535	52867	21278
1987	439	1390	54744	19984
1988	1188	1478	55931	37233
1989	837	2449	58474	40893
1990	1664	3208	43339	28447
1991	7587	4014	33712	37389
1992	17950	1124	19786	13110
1993	15346	1958	13471	42722
1994	11644	1789	12712	55508
1995	40328	1886	10353	72433
1996	32559	4421	11779	80784
1997	43246	5718	19559	70387
1998	42956	1457	21339	2895
1999	59493	5179	9641	91950
2000	53612	11754	23185	118816
2001	51894	19277	10550	86385
2002	58354	4643	4375	72920
2003	34732	1676	4155	45061
2004	44305	6793	4597	41026
2005	34633	11182	3443	58391
2006	46577	12791	7058	49159
2007	80981	10390	5649	49474
2008	57806	14285	3804	38101
2009	37578	2668	5199	92338
2010	33658	1026	2366	129904
2011	27714	2601	1437	121556
2012	23037	2488	3630	97078
2013	7074	6005	8959	104404
2014	7768	10511	6210	102516
