Year	entomelas	goodei	jordani	paucispinis	pinniger
1980	60263	13496	644	1994	1576
1981	72447	8719	502	1041	3527
1982	27625	3130	179	190	1622
1983	30792	3862	57	2092	1103
1984	30657	122750	594	14196	3972
1985	22270	7999	525	1215	1043
1986	9139	27210	197	1032	1558
1987	30350	22256	785	3318	1903
1988	16520	32477	805	9495	2122
1989	13824	35464	287	464	2342
1990	28153	16270	93	2708	1937
1991	37388	27574	1260	2395	2131
1992	9694	10565	70	678	1382
1993	18881	39139	166	1565	1355
1994	18482	12526	52	1147	1662
1995	9269	15080	250	608	1202
1996	7239	6555	301	1080	1202
1997	15792	7584	67	227	787
1998	31276	12569	9	1237	860
1999	18250	153415	245	8067	1726
2000	24765	3708	52	268	904
2001	6805	15148	128	318	1936
2002	14301	23831	125	1250	1004
2003	7107	14082	591	3952	1148
2004	19301	25895	89	566	422
2005	6587	7647	9	3642	594
2006	7577	6645	NA	433	1679
2007	10833	32063	NA	838	2276
2008	12194	NA	NA	850	1012
2009	10787	NA	NA	NA	1886
2010	21124	NA	NA	NA	NA
