SCATNUM	PREYSP	FO_OT.BK	FO_OTHER	DATE	Year
CU1AR100881-1	ENGSPP	1	0	8/10/1981	1981
CU1AR100881-2	MERPRO	1	0	8/10/1981	1981
CUAC020780-1	OCTRUB	1	0	7/2/1980	1980
CUAC020780-10	SYMCAL	1	0	7/2/1980	1980
CUAC020780-3	SEBSP1	1	0	7/2/1980	1980
CUAC020780-3	LOLOPA	1	0	7/2/1980	1980
CUAC020780-4	LOLOPA	1	0	7/2/1980	1980
CUAC020780-7	SYMCAL	1	0	7/2/1980	1980
CUAC020780-8	MERPRO	1	0	7/2/1980	1980
CUAC020780-8	ONYBOR	1	0	7/2/1980	1980
CUAC020780-8	OCTRUB	1	0	7/2/1980	1980
CUAC070780-1	SEBSP1	1	0	7/7/1980	1980
CUAC070881-1	ONYBOR	1	0	8/7/1981	1981
CUAC070881-1	MERPRO	1	0	8/7/1981	1981
CUAC070881-1	GONONY	1	0	8/7/1981	1981
CUAC070881-2	MERPRO	1	0	8/7/1981	1981
CUAC070881-2	LOLOPA	1	0	8/7/1981	1981
CUAC070881-2	TRASYM	1	0	8/7/1981	1981
CUAC070881-2	SYMCAL	1	0	8/7/1981	1981
CUAC070881-2	ONYBOR	1	0	8/7/1981	1981
CUAC070881-3	SYMCAL	1	0	8/7/1981	1981
CUAC070881-3	GONSPP	1	0	8/7/1981	1981
CUAC070881-3	ABRFEL	1	0	8/7/1981	1981
CUAC070881-3	TRASYM	1	0	8/7/1981	1981
CUAC070881-3	MERPRO	1	0	8/7/1981	1981
CUAC070881-3	ONYBOR	1	0	8/7/1981	1981
CUAC070881-3	LOLOPA	1	0	8/7/1981	1981
CUAC070881-3	ENGSPP	1	0	8/7/1981	1981
CUAC070881-9	ENGSPP	1	0	8/7/1981	1981
CUAC070881-9	MERPRO	1	0	8/7/1981	1981
CUAC140780-1	MERPRO	1	0	7/14/1980	1980
CUAC140780-1	SEBSP1	1	0	7/14/1980	1980
CUAC140780-1	ENGSPP	1	0	7/14/1980	1980
CUAC140780-1	ICILOC	1	0	7/14/1980	1980
CUAC140781-1	TRASYM	1	0	7/14/1981	1981
CUAC140781-2	TRASYM	1	0	7/14/1981	1981
CUAC140781-2	SEBSP1	1	0	7/14/1981	1981
CUAC140781-2	MERPRO	1	0	7/14/1981	1981
CUAC140781-3	MERPRO	1	0	7/14/1981	1981
CUAC140781-4	SEBSP1	1	0	7/14/1981	1981
CUAC140781-4	MERPRO	1	0	7/14/1981	1981
CUAC140781-5	MERPRO	1	0	7/14/1981	1981
CUAC140881-3	BRAFRE	1	0	8/14/1981	1981
CUAC140881-3	MERPRO	1	0	8/14/1981	1981
CUAC260781-1	SYMCAL	1	0	7/26/1981	1981
CUAC260781-1	TRASYM	1	0	7/26/1981	1981
CUAC260781-13	MERPRO	1	0	7/26/1981	1981
CUAC260781-3	MERPRO	1	0	7/26/1981	1981
CUAC260781-3	SEBSP1	1	0	7/26/1981	1981
CUAC260781-3	TRASYM	1	0	7/26/1981	1981
CUAC260781-4	ENGSPP	1	0	7/26/1981	1981
CUAC260781-4	TRASYM	1	0	7/26/1981	1981
CUAC260781-5	SYMCAL	1	0	7/26/1981	1981
CUAC260781-6	SEBSP1	1	0	7/26/1981	1981
CUAC260781-6	LOLOPA	1	0	7/26/1981	1981
CUAC260781-7	TRASYM	1	0	7/26/1981	1981
CUAC260781-8	ONYBOR	1	0	7/26/1981	1981
CUAC300580-1	LOLOPA	1	0	5/30/1980	1980
CUAC300580-1	PEPSIM	1	0	5/30/1980	1980
CUAC300580-1	OCTRUB	1	0	5/30/1980	1980
CUAR140781-3	ONYBOR	1	0	7/14/1981	1981
CUAR140881-1	MERPRO	1	0	8/14/1981	1981
CUAR140881-10	ENGSPP	1	0	8/14/1981	1981
CUAR140881-10	SYMCAL	1	0	8/14/1981	1981
CUAR140881-11	ONYBOR	1	0	8/14/1981	1981
CUAR140881-11	GONSPB	1	0	8/14/1981	1981
CUAR140881-11	ABRFEL	1	0	8/14/1981	1981
CUAR140881-11	SYMCAL	1	0	8/14/1981	1981
CUAR140881-14	TRASYM	1	0	8/14/1981	1981
CUAR140881-16	SEBSP1	1	0	8/14/1981	1981
CUAR140881-16	TRASYM	1	0	8/14/1981	1981
CUAR140881-20	MERPRO	1	0	8/14/1981	1981
CUAR140881-5	ENGSPP	1	0	8/14/1981	1981
CUAR140881-5	SYMCAL	1	0	8/14/1981	1981
CUAR140881-5	MERPRO	1	0	8/14/1981	1981
CUAR140881-6	MERPRO	1	0	8/14/1981	1981
CUAR140881-6	TRASYM	1	0	8/14/1981	1981
CUAR140881-7	SYMCAL	1	0	8/14/1981	1981
CUAR140881-9	SYMCAL	1	0	8/14/1981	1981
CUAR260781-4	LOLOPA	1	0	7/26/1981	1981
CUAR280781-1	ONYBOR	1	0	7/28/1981	1981
CUAR280781-1	SYMCAL	1	0	7/28/1981	1981
CUAR280781-2	ONYBOR	1	0	7/28/1981	1981
CUAR280781-3	NOTIDF	1	0	7/28/1981	1981
CUAR280781-3	LOLOPA	1	0	7/28/1981	1981
CUAR280781-3	ONYBOR	1	0	7/28/1981	1981
CUAR280781-3	MERPRO	1	0	7/28/1981	1981
CUAR280781-5	MERPRO	1	0	7/28/1981	1981
CUAR280781-6	SEBSP1	1	0	7/28/1981	1981
CUCR020880-10	ONYBOR	1	0	8/2/1980	1980
CUCR020880-11	LOLOPA	1	0	8/2/1980	1980
CUCR020880-12	LOLOPA	1	0	8/2/1980	1980
CUCR020880-13	LOLOPA	1	0	8/2/1980	1980
CUCR020880-14	MERPRO	1	0	8/2/1980	1980
CUCR020880-14	SEBSP1	1	0	8/2/1980	1980
CUCR020880-18	LOLOPA	1	0	8/2/1980	1980
CUCR020880-8	MERPRO	1	0	8/2/1980	1980
CUCR020880-9	MERPRO	1	0	8/2/1980	1980
CUCR020880-9	SEBSP1	1	0	8/2/1980	1980
CUCR070880-1	SEBSP1	1	0	8/7/1980	1980
CUCR070880-1	LOLOPA	1	0	8/7/1980	1980
CUCR070880-1	GONBOR	1	0	8/7/1980	1980
CUCR270781-1	MERPRO	1	0	7/27/1981	1981
CUCR270781-10	MERPRO	1	0	7/27/1981	1981
CUCR270781-11	TRASYM	1	0	7/27/1981	1981
CUCR270781-11	MERPRO	1	0	7/27/1981	1981
CUCR270781-13	TRASYM	1	0	7/27/1981	1981
CUCR270781-13	LOLOPA	1	0	7/27/1981	1981
CUCR270781-13	MERPRO	1	0	7/27/1981	1981
CUCR270781-14	TRASYM	1	0	7/27/1981	1981
CUCR270781-14	MERPRO	1	0	7/27/1981	1981
