Year	Age0	Age1	Age2
1975	1.142	0.339	2.48
1976	0.352	0.923	0.274
1977	4.436	0.285	0.746
1978	0.28	3.586	0.23
1979	0.903	0.227	2.898
1980	14.47	0.73	0.183
1981	0.315	11.697	0.59
1982	0.249	0.255	9.452
1983	0.42	0.202	0.206
1984	11.511	0.339	0.163
1985	0.204	9.305	0.274
1986	0.215	0.165	7.521
1987	4.872	0.174	0.133
1988	1.863	3.939	0.14
1989	0.185	1.506	3.183
1990	4.012	0.149	1.217
1991	0.602	3.243	0.121
1992	0.198	0.486	2.62
1993	3.053	0.16	0.393
1994	2.509	2.468	0.129
1995	1.214	2.028	1.994
1996	1.521	0.982	1.639
1997	1.024	1.229	0.793
1998	1.686	0.828	0.993
1999	10.386	1.363	0.668
2000	0.356	8.395	1.1
2001	0.811	0.287	6.782
2002	0.074	0.655	0.232
2003	1.322	0.06	0.53
2004	0.076	1.069	0.048
2005	2.202	0.061	0.863
2006	1.619	1.78	0.05
2007	0.046	1.309	1.437
2008	5.096	0.037	1.056
2009	1.097	4.119	0.03
2010	12.106	0.887	3.326
2011	0.432	9.786	0.715
2012	1.887	0.349	7.897
2013	1.856	1.525	0.282
2014	2.424	1.5	1.232
2015	2.423	1.96	1.212
