Year	Age	Abundance	Biomass
1981	0	75772	600
1982	0	106168	841
1983	0	271209	2147
1984	0	239294	1895
1985	0	267750	2120
1986	0	654354	5181
1987	0	884962	7007
1988	0	1270380	10059
1989	0	1083700	8581
1990	0	2260680	17900
1991	0	2884210	22837
1992	0	2308880	18281
1993	0	7374590	58391
1994	0	6665910	52780
1995	0	2246370	17786
1996	0	3596460	28476
1997	0	11285600	89358
1998	0	7874930	62353
1999	0	1322740	10473
2000	0	1470010	11639
2001	0	3014670	23870
2002	0	379342	3004
2003	0	15513500	122834
2004	0	7293630	57750
2005	0	12866700	101877
2006	0	3935670	31162
2007	0	6596600	52231
2008	0	2288420	18119
2009	0	6301980	49898
2010	0	1473040	11663
2011	0	274733	2175
2012	0	76257	604
2013	0	87128	690
1981	1	50791	1891
1982	1	50786	1891
1983	1	71122	2648
1984	1	181758	6768
1985	1	160016	5958
1986	1	179357	6679
1987	1	438177	16316
1988	1	592462	22061
1989	1	851059	31690
1990	1	725673	27021
1991	1	1933340	71990
1992	1	1547690	57630
1993	1	4943330	184071
1994	1	4906830	182712
1995	1	4372810	162827
1996	1	1483220	55229
1997	1	2374370	88413
1998	1	7424680	276467
1999	1	5116820	190531
2000	1	806239	30021
2001	1	879483	32749
2002	1	1707430	63578
2003	1	207709	7734
2004	1	9950400	370515
2005	1	4750380	176886
2006	1	8352900	311030
2007	1	2522970	93946
2008	1	4130600	153808
2009	1	1413320	52627
2010	1	3941910	146782
2011	1	924807	34436
2012	1	164892	6140
2013	1	43477	1619
