YYYYMMDD	Index
19670101	1
19670102	-30
19670103	-55
19670104	-23
19670105	100
19670106	-19
19670107	-52
19670108	-72
19670109	-76
19670110	-92
19670111	-23
19670112	23
19670113	3
19670114	-5
19670115	-17
19670116	12
19670117	-22
19670118	-12
19670119	-2
19670120	27
19670121	43
19670122	26
19670123	33
19670124	15
19670125	39
19670126	8
19670127	5
19670128	14
19670129	31
19670130	57
19670131	147
19670201	59
19670202	56
19670203	17
19670204	-14
19670205	3
19670206	-47
19670207	-22
19670208	-14
19670209	13
19670210	2
19670211	-39
19670212	-13
19670213	56
19670214	147
19670215	34
19670216	12
19670217	-2
19670218	26
19670219	26
19670220	-48
19670221	-24
19670222	-6
19670223	-11
19670224	28
19670225	50
19670226	28
19670227	-44
19670228	-22
19670301	32
19670302	70
19670303	202
19670304	112
19670305	43
19670306	22
19670307	42
19670308	40
19670309	52
19670310	21
19670311	10
19670312	32
19670313	40
19670314	16
19670315	-15
19670316	19
19670317	134
19670318	181
19670319	117
19670320	127
19670321	96
19670322	43
19670323	133
19670324	198
19670325	118
19670326	82
19670327	23
19670328	81
19670329	261
19670330	118
19670331	53
19670401	18
19670402	25
19670403	29
19670404	68
19670405	37
19670406	80
19670407	109
19670408	99
19670409	110
19670410	179
19670411	170
19670412	153
19670413	93
19670414	112
19670415	198
19670416	119
19670417	130
19670418	136
19670419	52
19670420	20
19670421	26
19670422	77
19670423	45
19670424	128
19670425	91
19670426	130
19670427	220
19670428	158
19670429	165
19670430	104
19670501	61
19670502	146
19670503	156
19670504	132
19670505	111
19670506	35
19670507	48
19670508	206
19670509	168
19670510	207
19670511	239
19670512	210
19670513	89
19670514	13
19670515	31
19670516	46
19670517	97
19670518	229
19670519	163
19670520	141
19670521	110
19670522	99
19670523	141
19670524	214
19670525	256
19670526	348
19670527	335
19670528	303
19670529	373
19670530	419
19670531	279
19670601	154
19670602	112
19670603	115
19670604	163
19670605	104
19670606	117
19670607	192
19670608	315
19670609	385
19670610	358
19670611	314
19670612	282
19670613	146
19670614	158
19670615	247
19670616	259
19670617	153
19670618	169
19670619	157
19670620	143
19670621	115
19670622	195
19670623	196
19670624	137
19670625	140
19670626	149
19670627	244
19670628	198
19670629	216
19670630	227
19670701	235
19670702	183
19670703	110
19670704	198
19670705	160
19670706	249
19670707	130
19670708	149
19670709	141
19670710	112
19670711	88
19670712	105
19670713	216
19670714	171
19670715	279
19670716	181
19670717	177
19670718	161
19670719	143
19670720	156
19670721	131
19670722	146
19670723	140
19670724	151
19670725	135
19670726	77
19670727	52
19670728	99
19670729	139
19670730	252
19670731	221
19670801	180
19670802	196
19670803	212
19670804	129
19670805	135
19670806	220
19670807	239
19670808	166
19670809	241
19670810	149
19670811	142
19670812	128
19670813	158
19670814	85
19670815	104
19670816	119
19670817	38
19670818	73
19670819	90
19670820	134
19670821	167
19670822	127
19670823	80
19670824	76
19670825	138
19670826	118
19670827	130
19670828	95
19670829	89
19670830	79
19670831	32
19670901	17
19670902	28
19670903	44
19670904	113
19670905	130
19670906	101
19670907	168
19670908	100
19670909	87
19670910	6
19670911	12
19670912	136
19670913	111
19670914	62
19670915	70
19670916	89
19670917	110
19670918	96
